institute,model,component,property,value
MOHC,HADGEM2-CC,Ocean,Scientific Properties > Sea Water > Freezing Point Value,-1.8
MOHC,HADGEM2-ES,Ocean,Scientific Properties > Sea Water > Freezing Point Value,-1.8
INPE,HADGEM2-ES,Ocean,Scientific Properties > Sea Water > Freezing Point Value,-1.8
NCC,NORESM1-M,Ocean,Scientific Properties > Sea Water > Freezing Point Value,-1.8 deg C
NCC,NORESM1-ME,Ocean,Scientific Properties > Sea Water > Freezing Point Value,-1.8 deg C
CSIRO-QCCCE,CSIRO-MK3.6.0,Ocean,Scientific Properties > Sea Water > Freezing Point Value,-1.85
BCC,BCC-CSM1.1,Ocean,Scientific Properties > Ocean Key Properties > Sea Water > Freezing Point Value,-1.8degC
MPI-M,MPI-ESM-LR,Ocean,Scientific Properties > Sea Water > Freezing Point Value,-1.9C
MPI-M,MPI-ESM-P,Ocean,Scientific Properties > Sea Water > Freezing Point Value,-1.9C
MPI-M,MPI-ESM-MR,Ocean,Scientific Properties > Sea Water > Freezing Point Value,-1.9C
NCC,NORESM1-ME,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,-180
NCC,NORESM1-ME,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Min,-90
MPI-M,MPI-ESM-MR,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,.
MPI-M,MPI-ESM-LR,Atmosphere > Dynamical Core > Advection,Scientific Properties > Momentum > Conserved Quantities,.
MPI-M,MPI-ESM-LR,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,.
MPI-M,MPI-ESM-LR,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,.
MPI-M,MPI-ESM-MR,Atmosphere > Dynamical Core > Advection,Scientific Properties > Momentum > Conserved Quantities,.
MPI-M,MPI-ESM-P,Atmosphere > Dynamical Core > Advection,Scientific Properties > Momentum > Conserved Quantities,.
MPI-M,MPI-ESM-P,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,.
MPI-M,MPI-ESM-MR,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,.
MPI-M,MPI-ESM-P,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,.
IPSL,IPSL-CM5A-LR,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,0
IPSL,IPSL-CM5A-LR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lower Level,0
INM,INM-CM4,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lower Level,0
IPSL,IPSL-CM5A-MR,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,0
IPSL,IPSL-CM5A-MR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Min,0
IPSL,IPSL-CM5A-MR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Max,0
IPSL,IPSL-CM5A-MR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Upper Level,0
IPSL,IPSL-CM5A-MR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lower Level,0
IPSL,IPSL-CM5A-MR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Min,0
IPSL,IPSL-CM5A-MR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lower Level,0
NCEP,CFSV2-2011,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,0
CMCC,CMCC-CESM,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,0
CMCC,CMCC-CESM,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0
CMCC,CMCC-CESM,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,0
INM,INM-CM4,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Min,0
INM,INM-CM4,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Max,0
INM,INM-CM4,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Max,0
INM,INM-CM4,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Upper Level,0
CMCC,CMCC-CM,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0
CMCC,CMCC-CM,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,0
CMCC,CMCC-CMS,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0
CMCC,CMCC-CMS,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,0
IPSL,IPSL-CM5A-MR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Max,0
CNRM-CERFACS,CNRM-CM5,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Min,0
CNRM-CERFACS,CNRM-CM5,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Max,0
CNRM-CERFACS,CNRM-CM5,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Min,0
CNRM-CERFACS,CNRM-CM5,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Max,0
CNRM-CERFACS,CNRM-CM5,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Upper Level,0
CNRM-CERFACS,CNRM-CM5,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lower Level,0
CNRM-CERFACS,CNRM-CM5,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Min,0
CNRM-CERFACS,CNRM-CM5,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Max,0
CNRM-CERFACS,CNRM-CM5,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Min,0
CNRM-CERFACS,CNRM-CM5,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Max,0
CNRM-CERFACS,CNRM-CM5,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Upper Level,0
CNRM-CERFACS,CNRM-CM5,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lower Level,0
CNRM-CERFACS,CNRM-CM5,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,0
MRI,MRI-CGCM3,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0
MRI,MRI-CGCM3,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,0
CSIRO-QCCCE,CSIRO-MK3.6.0,Atmosphere > Dynamical Core,Scientific Properties > Heat Treatment At Top,0
CSIRO-QCCCE,CSIRO-MK3.6.0,Atmosphere > Dynamical Core,Scientific Properties > Wind Treatment At Top,0
EC-EARTH,EC-EARTH,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,0
IPSL,IPSL-CM5A-LR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Min,0
IPSL,IPSL-CM5A-LR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Max,0
IPSL,IPSL-CM5A-LR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Min,0
IPSL,IPSL-CM5A-LR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Max,0
IPSL,IPSL-CM5A-LR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Min,0
IPSL,IPSL-CM5A-LR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Max,0
IPSL,IPSL-CM5A-LR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Min,0
IPSL,IPSL-CM5A-LR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Max,0
IPSL,IPSL-CM5A-MR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Max,0
NCC,NORESM1-ME,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,0
NCC,NORESM1-ME,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Bimolecular Reactions,0
NOAA-GFDL,GFDL-CM3,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,0
NCC,NORESM1-M,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Bimolecular Reactions,0
NCC,NORESM1-M,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,0
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,0
IPSL,IPSL-CM5A-MR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Min,0
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,0
IPSL,IPSL-CM5A-MR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Min,0
IPSL,IPSL-CM5A-MR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Max,0
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,0
MRI,MRI-ESM1,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,0
NCC,NORESM1-M,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,0
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,0
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,0
MOHC,HADCM3,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0
MOHC,HADCM3,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,0
MOHC,HADGEM2-CC,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Termolecular Reactions,0
MOHC,HADGEM2-CC,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,0
MRI,MRI-ESM1,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,0
MOHC,HADGEM2-CC,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0
MOHC,HADGEM2-CC,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,0
IPSL,IPSL-CM5A-LR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Upper Level,0
IPSL,IPSL-CM5A-LR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lower Level,0
INM,INM-CM4,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,0
IPSL,IPSL-CM5A-MR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Upper Level,0
MOHC,HADGEM2-ES,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0
MOHC,HADGEM2-ES,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,0
IPSL,IPSL-CM5A-LR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Upper Level,0
MRI,MRI-ESM1,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,0
INPE,HADGEM2-ES,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0
INPE,HADGEM2-ES,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,0
NCC,NORESM1-ME,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,0
CSIRO-QCCCE,CSIRO-MK3.6.0,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,0-3
NCEP,CFSV2-2011,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Background Coefficient,0.000001 m^2/sec
NCEP,CFSV2-2011,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Momentum > Background Value,0.000001 m^2/sec
EC-EARTH,EC-EARTH,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,0.00001
MOHC,HADGEM2-CC,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,0.00001
MOHC,HADGEM2-ES,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,0.00001
INPE,HADGEM2-ES,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,0.00001
EC-EARTH,EC-EARTH,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Background Coefficient,0.00001m2/s
MOHC,HADGEM2-ES,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Momentum > Background Value,0.00002
MOHC,HADGEM2-CC,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Background Coefficient,0.00002
MOHC,HADGEM2-CC,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Momentum > Background Value,0.00002
MOHC,HADGEM2-ES,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Background Coefficient,0.00002
INPE,HADGEM2-ES,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Background Coefficient,0.00002
INPE,HADGEM2-ES,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Momentum > Background Value,0.00002
NCEP,CFSV2-2011,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0.0001 m/sec (velocity scale used for computing viscosity)
EC-EARTH,EC-EARTH,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Momentum > Background Value,0.0001 m2/s
EC-EARTH,EC-EARTH,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Background Coefficient,0.0001m2/s
NCEP,CFSV2-2011,Ocean > Upper & Lower Boundaries,Scientific Properties > Bottom Boundary Layer > Lateral Mixing Coefficient,0.001 (coefficient for quadratic bottom drag)
MRI,MRI-ESM1,Atmosphere > Dynamical Core,Scientific Properties > Wind Treatment At Top,0.01hPa
MRI,MRI-AGCM3.2H,Atmosphere > Dynamical Core,Scientific Properties > Heat Treatment At Top,0.01hPa
MRI,MRI-AGCM3.2S,Atmosphere > Dynamical Core,Scientific Properties > Wind Treatment At Top,0.01hPa
MRI,MRI-CGCM3,Atmosphere > Dynamical Core,Scientific Properties > Heat Treatment At Top,0.01hPa
MRI,MRI-ESM1,Atmosphere > Dynamical Core,Scientific Properties > Heat Treatment At Top,0.01hPa
MRI,MRI-AGCM3.2H,Atmosphere > Dynamical Core,Scientific Properties > Wind Treatment At Top,0.01hPa
MRI,MRI-AGCM3.2S,Atmosphere > Dynamical Core,Scientific Properties > Heat Treatment At Top,0.01hPa
MRI,MRI-CGCM3,Atmosphere > Dynamical Core,Scientific Properties > Wind Treatment At Top,0.01hPa
NCC,NORESM1-M,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0.02 m s-1 multiplied by local grid size
NCC,NORESM1-ME,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0.02 m s-1 multiplied by local grid size
NASA-GISS,GISS-E2-H,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,0.02m/s*delta(x)
NASA-GISS,GISS-E2-H-CC,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,0.02m/s*delta(x)
NASA-GISS,GISS-E2CS-H,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,0.02m/s*delta(x)
NASA-GISS,GISS-E2-H,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0.05 m/s*delta(x)
NASA-GISS,GISS-E2-H-CC,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0.05 m/s*delta(x)
NASA-GISS,GISS-E2CS-H,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,0.05 m/s*delta(x)
NASA-GISS,GISS-E2-R,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Mixing Coefficient,0.1
NASA-GISS,GISS-E2-R,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Background Coefficient,0.1
NASA-GISS,GISS-E2-R-CC,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Background Coefficient,0.1
NASA-GISS,GISS-E2-R-CC,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Mixing Coefficient,0.1
NASA-GISS,GISS-E2CS-R,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Background Coefficient,0.1
NASA-GISS,GISS-E2CS-R,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Mixing Coefficient,0.1
CSIRO-QCCCE,CSIRO-MK3.6.0,Sea Ice > Thermodynamics,Scientific Properties > Snow > Snow Conductivity,0.30976 Wm-1 K-1
CMCC,CMCC-CESM,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,0.7071e-6
CMCC,CMCC-CESM,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Momentum > Background Value,0.7071e-6
CMCC,CMCC-CM,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,0.7071e-6
CMCC,CMCC-CM,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Momentum > Background Value,0.7071e-6
CMCC,CMCC-CMS,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,0.7071e-6
CMCC,CMCC-CMS,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Momentum > Background Value,0.7071e-6
BCC,BCC-CSM1.1,Ocean Bio-Geo Chemistry,Scientific Properties > Ocean Bio Key Properties > Bio Geo Tracers Damping > Lon Min,0E
BCC,BCC-CSM1.1,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1
IPSL,IPSL-CM5A-LR,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
CSIRO-BOM,ACCESS1.0,Land Surface > Albedo,Scientific Properties > Snow Free Albedo > Number Of Wavelengh Bands,1
CSIRO-BOM,ACCESS1.0,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
CSIRO-BOM,ACCESS1.0,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
CSIRO-BOM,ACCESS1.3,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
INM,INM-CM4,Land Surface > Carbon Cycle,Scientific Properties > Soil > Number Of Carbon Pools,1
INM,INM-CM4,Land Surface > Carbon Cycle > Vegetation,Scientific Properties > Number Of Carbon Pools,1
INM,INM-CM4,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
MPI-M,MPI-ESM-MR,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1
NCC,NORESM1-M,Land Surface > Albedo,Scientific Properties > Snow Free Albedo > Number Of Wavelengh Bands,1
MPI-M,MPI-ESM-LR,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1
MPI-M,MPI-ESM-LR,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
NCC,NORESM1-M,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Advected Species,1
NCEP,CFSV2-2011,Land Ice > Glaciers,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NCEP,CFSV2-2011,Land Ice > Sheet,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NCC,NORESM1-ME,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,1
MPI-M,MPI-ESM-MR,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,1
CMCC,CMCC-CESM,Land Surface > Albedo,Scientific Properties > Snow Free Albedo > Number Of Wavelengh Bands,1
CMCC,CMCC-CESM,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
CMCC,CMCC-CESM,Land Surface > Soil > Heat Treatment,Scientific Properties > Soil Heat Treatment Attributes > Number Of Ground Heat Layers,1
CMCC,CMCC-CESM,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,1
MPI-M,MPI-ESM-MR,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
MPI-M,MPI-ESM-P,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1
MPI-M,MPI-ESM-P,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
CMCC,CMCC-CM,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
CMCC,CMCC-CMS,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
CNRM-CERFACS,CNRM-CM5,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1
CNRM-CERFACS,CNRM-CM5,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
NCC,NORESM1-M,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,1
MPI-M,MPI-ESM-P,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,1
CSIRO-QCCCE,CSIRO-MK3.6.0,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Order,1
IPSL,IPSL-CM5A-LR,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1
EC-EARTH,EC-EARTH,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
NCC,NORESM1-M,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,1
NOAA-GFDL,GFDL-CM2P1,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1
NOAA-GFDL,GFDL-CM2P1,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
NOAA-GFDL,GFDL-CM2P1,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
NOAA-GFDL,GFDL-CM2P1,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,1
NOAA-GFDL,GFDL-CM2P1,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,1
NCC,NORESM1-ME,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,1
NCC,NORESM1-ME,Land Surface > Albedo,Scientific Properties > Snow Free Albedo > Number Of Wavelengh Bands,1
MPI-M,MPI-ESM-LR,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,1
INM,INM-CM4,Land Ice > Sheet,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NCC,NORESM1-ME,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Upper Level,1
NASA-GISS,GISS-E2-H,Land Ice > Glaciers,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2-H,Land Ice > Sheet,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2-H,Land Ice > Shelves,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2-H,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
IPSL,IPSL-CM5A-MR,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
NASA-GISS,GISS-E2-H-CC,Land Ice > Glaciers,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2-H-CC,Land Ice > Sheet,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2-H-CC,Land Ice > Shelves,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
